basin_id,huc04
101,0101
101,0102
101,0103
101,0105
104,0104
104,0106
107,0107
107,0109
108,0108
108,0110
202,0202
202,0203
204,0204
205,0205
206,0206
206,0207
208,0208
301,0301
302,0302
302,0303
304,0304
305,0305
306,0306
307,0307
308,0308
308,0310
309,0309
311,0311
311,0312
313,0313
314,0314
315,0315
316,0316
317,0317
317,0318
401,0401
401,0402
403,0403
403,0404
403,0420
405,0405
405,0406
407,0407
407,0408
409,0409
409,0410
411,0411
411,0412
411,0413
411,0414
411,0427
415,0415
501,0501
501,0502
503,0503
503,0504
505,0505
506,0506
506,0508
507,0507
507,0509
510,0510
511,0511
512,0512
513,0513
514,0514
601,0601
601,0602
603,0603
603,0604
701,0701
702,0702
703,0703
703,0705
704,0704
706,0706
707,0707
708,0708
709,0709
710,0710
711,0711
712,0712
713,0713
714,0714
801,0801
802,0802
803,0803
804,0804
805,0805
805,0806
807,0807
807,0809
808,0808
901,0901
902,0902
903,0903
1002,1002
1003,1003
1004,1004
1005,1005
1006,1006
1007,1007
1008,1008
1009,1009
1010,1010
1011,1011
1012,1012
1013,1013
1014,1014
1015,1015
1016,1016
1017,1017
1018,1018
1019,1019
1020,1020
1021,1021
1022,1022
1022,1023
1024,1024
1025,1025
1026,1026
1027,1027
1028,1028
1029,1029
1030,1030
1101,1101
1102,1102
1103,1103
1104,1104
1105,1105
1105,1106
1107,1107
1108,1108
1109,1109
1110,1110
1111,1111
1112,1112
1113,1113
1114,1114
1201,1201
1201,1202
1203,1203
1203,1204
1205,1205
1206,1206
1207,1207
1208,1208
1209,1209
1210,1210
1211,1211
1301,1301
1302,1302
1303,1303
1304,1304
1305,1305
1306,1306
1307,1307
1308,1308
1308,1309
1401,1401
1401,1402
1403,1403
1404,1404
1405,1405
1406,1406
1407,1407
1408,1408
1501,1501
1502,1502
1503,1503
1504,1504
1505,1505
1506,1506
1507,1507
1508,1508
1601,1601
1601,1602
1603,1603
1604,1604
1605,1605
1606,1606
1701,1701
1702,1702
1703,1703
1704,1704
1705,1705
1706,1706
1707,1707
1708,1708
1708,1709
1710,1710
1711,1711
1712,1712
1801,1801
1802,1802
1802,1808
1803,1803
1804,1804
1805,1805
1806,1806
1807,1807
1809,1809
1810,1810
